,Restriction,Testing,Asymptomatic,Infectivity,Use,Description
1,0,Lazy,0.5,0.28,TRUE,
2,0.1,Lazy,0.5,0.28,TRUE,
3,0.2,Lazy,0.5,0.28,TRUE,
4,0.3,Lazy,0.5,0.28,TRUE,
5,0.4,Lazy,0.5,0.28,TRUE,
6,0.41,Lazy,0.5,0.28,TRUE,
7,0.5,Lazy,0.5,0.28,TRUE,
8,0.6,Lazy,0.5,0.28,TRUE,
9,0.7,Lazy,0.5,0.28,TRUE,
10,0.8,Lazy,0.5,0.28,TRUE,
11,0.9,Lazy,0.5,0.28,TRUE,
12,1,Lazy,0.5,0.28,TRUE,
13,0,Active,0.5,0.28,TRUE,
14,0.1,Active,0.5,0.28,TRUE,
15,0.2,Active,0.5,0.28,TRUE,
16,0.3,Active,0.5,0.28,TRUE,
17,0.4,Active,0.5,0.28,TRUE,
18,0.41,Active,0.5,0.28,TRUE,
19,0.5,Active,0.5,0.28,TRUE,
20,0.6,Active,0.5,0.28,TRUE,
21,0.7,Active,0.5,0.28,TRUE,
22,0.8,Active,0.5,0.28,TRUE,
23,0.9,Active,0.5,0.28,TRUE,
24,1,Active,0.5,0.28,TRUE,
25,0,Aggressive,0.5,0.28,TRUE,
26,0.1,Aggressive,0.5,0.28,TRUE,
27,0.2,Aggressive,0.5,0.28,TRUE,
28,0.3,Aggressive,0.5,0.28,TRUE,
29,0.4,Aggressive,0.5,0.28,TRUE,
30,0.41,Aggressive,0.5,0.28,TRUE,
31,0.5,Aggressive,0.5,0.28,TRUE,
32,0.6,Aggressive,0.5,0.28,TRUE,
33,0.7,Aggressive,0.5,0.28,TRUE,
34,0.8,Aggressive,0.5,0.28,TRUE,
35,0.9,Aggressive,0.5,0.28,TRUE,
36,1,Aggressive,0.5,0.28,TRUE,
37,0.41,Lazy,0.02,0.28,TRUE,
38,0.41,Lazy,0.15,0.28,TRUE,
39,0.41,Lazy,0.3,0.28,TRUE,
40,0.41,Lazy,0.4,0.28,TRUE,
41,0.41,Lazy,0.65,0.28,TRUE,
42,0.41,Lazy,0.75,0.28,TRUE,
43,0.41,Lazy,0.82,0.28,TRUE,
44,0.41,Lazy,0.9,0.28,TRUE,
45,0.41,Lazy,0.98,0.28,TRUE,
46,0.41,Aggressive,0.02,0.28,TRUE,
47,0.41,Aggressive,0.15,0.28,TRUE,
48,0.41,Aggressive,0.3,0.28,TRUE,
49,0.41,Aggressive,0.4,0.28,TRUE,
50,0.41,Aggressive,0.65,0.28,TRUE,
51,0.41,Aggressive,0.75,0.28,TRUE,
52,0.41,Aggressive,0.82,0.28,TRUE,
53,0.41,Aggressive,0.9,0.28,TRUE,
54,0.41,Aggressive,0.98,0.28,TRUE,
55,0.41,Lazy,0.5,0.01,TRUE,
56,0.41,Lazy,0.5,0.1,TRUE,
57,0.41,Lazy,0.5,0.18,TRUE,
58,0.41,Lazy,0.5,0.25,TRUE,
59,0.41,Lazy,0.5,0.3,TRUE,
60,0.41,Lazy,0.5,0.35,TRUE,
61,0.41,Lazy,0.5,0.4,TRUE,
62,0.41,Lazy,0.5,0.65,TRUE,
63,0.41,Lazy,0.5,1,TRUE,
64,0.41,Aggressive,0.5,0.01,TRUE,
65,0.41,Aggressive,0.5,0.1,TRUE,
66,0.41,Aggressive,0.5,0.18,TRUE,
67,0.41,Aggressive,0.5,0.25,TRUE,
68,0.41,Aggressive,0.5,0.3,TRUE,
69,0.41,Aggressive,0.5,0.35,TRUE,
70,0.41,Aggressive,0.5,0.4,TRUE,
71,0.41,Aggressive,0.5,0.65,TRUE,
72,0.41,Aggressive,0.5,1,TRUE,
