Percentage,Testing,Recovered,Observed,Active,In hospital,Dead,At peak,PeakDate,Strategy
0,Severe,1600000,107000,0,0,34000,975000,2020-05-14,Mitigation
35,Severe,1530000,103000,0,0,32300,738000,2020-05-23,Mitigation
50,Severe,1430000,96400,1,0,29200,551000,2020-06-02,Mitigation
52,Severe,1410000,95000,2,2,28400,522000,2020-06-04,Mitigation
55,Severe,1370000,91700,13,4,27100,471000,2020-06-07,Mitigation
60,Severe,1290000,85500,92,15,24600,379000,2020-06-15,Mitigation
65,Severe,1160000,77600,1070,138,21100,279000,2020-06-25,Mitigation
70,Severe,940000,63000,9680,913,14800,170000,2020-07-13,Mitigation
75,Severe,529000,36100,33100,1930,5450,68600,2020-08-05,Mitigation
76,Severe,427000,29400,31400,1740,3580,51900,2020-08-04,Mitigation
77,Severe,325000,22400,27100,1520,2080,35600,2020-08-16,Mitigation
78,Severe,238000,16500,17500,944,1560,24200,2020-08-18,Mitigation
79,Severe,175000,12100,9900,558,1160,17400,2020-06-20,Mitigation
80,Severe,126000,8610,5580,319,858,15300,2020-04-13,Mitigation
81,Severe,96200,6780,2640,142,678,14600,2020-04-13,Mitigation
82,Severe,72300,4970,956,67,457,14200,2020-04-12,Mitigation
83,Severe,58000,4150,470,35,432,13700,2020-04-10,Mitigation
84,Severe,45100,3220,142,7,326,13400,2020-04-07,Mitigation
85,Severe,39400,2860,40,3,316,13100,2020-04-05,Mitigation
86,Severe,34000,2510,3,1,243,13000,2020-04-03,Mitigation
87,Severe,29800,2200,0,0,201,12800,2020-04-02,Mitigation
88,Severe,27100,2050,0,0,202,12800,2020-03-31,Mitigation
89,Severe,25100,1900,0,0,181,12800,2020-03-31,Mitigation
90,Severe,23000,1750,0,0,175,12800,2020-03-31,Mitigation
95,Severe,17200,1410,0,0,129,12800,2020-03-31,Mitigation
100,Severe,15000,1260,0,0,125,12800,2020-03-31,Mitigation
75,Severe,529000,36100,33100,1930,5450,68600,2020-08-05,Hammer
75,Mild,263000,134000,21900,1130,1760,28600,2020-08-03,Hammer
75,Tracing,238000,108000,20100,1110,1570,25400,2020-08-14,Hammer
80,Severe,123000,8440,5910,321,834,15200,2020-04-12,Hammer
80,Mild,70100,33200,1070,71,487,14200,2020-04-08,Hammer
80,Tracing,63900,28100,880,49,485,13400,2020-04-04,Hammer
80,Tracing,1330000,594000,19500,2270,25400,429000,2020-08-21,"Hammer, mobility alleviated to 50 %"
0,No testing,1353856,NA,27,4224,27501,311262,56,Mitigation w/ Calculator
20,No testing,1147191,NA,587,8171,23132,188512,70,Mitigation w/ Calculator
40,No testing,659801,NA,7996,16324,12905,64073,96,Mitigation w/ Calculator
45,No testing,468211,NA,8908,13550,9100,39275,98,Mitigation w/ Calculator
50,No testing,289956,NA,6011,7985,5653,21883,74,Mitigation w/ Calculator
55,No testing,170709,NA,2208,3177,3378,16672,2020-04-04,Mitigation w/ Calculator
60,No testing,103867,NA,527,1006,2086,16116,2020-04-04,Mitigation w/ Calculator
65,No testing,69868,NA,91,295,1416,15566,2020-04-04,Mitigation w/ Calculator
70,No testing,51835,NA,12,96,1055,15021,2020-04-04,Mitigation w/ Calculator
75,No testing,41340,NA,1,40,843,14483,2020-04-04,Mitigation w/ Calculator
80,No testing,34638,NA,0,23,706,13952,2020-04-04,Mitigation w/ Calculator
85,No testing,30025,NA,0,16,612,13425,2020-04-04,Mitigation w/ Calculator
90,No testing,26674,NA,0,6,544,12905,2020-04-04,Mitigation w/ Calculator
100,No testing,22117,NA,0,8,451,16404,4,Mitigation w/ Calculator
